"Occupation_desc","Entity_name","Country_name"
"Min. of Agriculture & Food Security","Indar WEIR","Barbados"
"Min. of the Creative Economy, Culture, & Sports","John KING","Barbados"
"Min. of Education & Technological & Vocational Training","Santia BRADSHAW","Barbados"
"Min. of Energy & Water Resources","Wilfred ABRAHAMS","Barbados"
"Min. of Environment & National Beautification","Trevor PRESCOD","Barbados"
"Min. of Finance, Economic Affairs, & Investment","Mia MOTTLEY","Barbados"
"Min. of Foreign Affairs & Foreign Trade","Jerome WALCOTT , Dr.","Barbados"
"Min. of Health & Wellness","Jeffrey BOSTIC","Barbados"
"Min. of Home Affairs","Edmund HINKSON","Barbados"
"Min. of Housing, Lands, & Rural Development","George PAYNE","Barbados"
"Min. of Information, Broadcasting, & Public Affairs","Lucille MOE","Barbados"
"Min. of Innovation, Science, & Smart Technology","Kay MCCONNEY","Barbados"
"Min. of Intl. Business & Industry","Ronald TOPPIN","Barbados"
"Min. of Labor & Social Partnership Relations","Colin JORDAN","Barbados"
"Min. of Legal Affairs","Dale MARSHALL","Barbados"
"Min. of Maritime Affairs & the Blue Economy","Kirk HUMPHREY","Barbados"
"Min. of People Empowerment & Elder Affairs","Cynthia FORDE","Barbados"
"Min. of Small Business, Entrepreneurship, & Commerce","Dwight SUTHERLAND","Barbados"
"Min. of Tourism & Intl. Transport","Kerrie SYMMONDS","Barbados"
"Min. of Transport, Works, & Maintenance","William DUGUID , Dr.","Barbados"
"Min. of Youth & Community Empowerment","Adrian FORDE","Barbados"
"Attorney Gen.","Dale MARSHALL","Barbados"
"Governor, Central Bank","DeLisle WORRELL","Barbados"
"Ambassador to the US","Selwin Charles HART","Barbados"
"Permanent Representative to the UN, New York","Keith Hamilton Llewellyn MARSHALL","Barbados"
"Pres.","Aleksandr LUKASHENKO","Belarus"
"Prime Min.","Sergey RUMAS","Belarus"
"First Dep. Prime Min.","Aleksandr TURCHIN","Belarus"
"Dep. Prime Min.","Vladimir KUKHAREV","Belarus"
"Dep. Prime Min.","Igor LYASHENKO","Belarus"
"Dep. Prime Min.","Igor PETRISHENKO","Belarus"
"Dep. Prime Min.","Vasiliy ZHARKO","Belarus"
"Min. of Agriculture & Food","Leonid ZAYATS","Belarus"
"Min. of Antimonopoly Regulation & Trade","Vladimir KOLTOVICH","Belarus"
"Min. of Architecture & Construction","Dmitry MIKULENOK","Belarus"
"Min. of Communications & Information Technology","Konstantin SHULGAN","Belarus"
"Min. of Culture","Yuriy BONDAR","Belarus"
"Min. of Defense","Andrey RAVKOV","Belarus"
"Min. of Economy","Dmitry KRUTOY","Belarus"
"Min. of Education","Igor KARPENKO","Belarus"
"Min. of Emergency Situations","Vladimir VASHCHENKO","Belarus"
"Min. of Energy","","Belarus"
"Min. of Finance","Vladimir AMARIN","Belarus"
"Min. of Foreign Affairs","Vladimir MAKEY","Belarus"
"Min. of Forestry","","Belarus"
"Min. of Health","Valeriy MALASHKO","Belarus"
"Min. of Housing & Municipal Services","Aleksandr TEREKHOV","Belarus"
"Min. of Industry","Pavel UTYPIN","Belarus"
"Min. of Information","Aleksandr KARLYUKEVICH","Belarus"
"Min. of Internal Affairs","Igor SHUNEVICH","Belarus"
"Min. of Justice","Oleg SLIZHEVSKIY","Belarus"
"Min. of Labor & Social Security","Irina A. KOSTEVICH","Belarus"
"Min. of Natural Resources & Environmental Protection","Andrey KHUDYK","Belarus"
"Min. of Sports & Tourism","Sergey KOVALCHUK","Belarus"
"Min. of Tax Collection","Sergey NALYVAYKO","Belarus"
"Min. of Trade","Vladimir KOLTOVICH","Belarus"
"Min. of Transport & Communication","Anatol SIVAK","Belarus"
"Chief, Presidential Admin.","Natalya KOCHANOVA","Belarus"
"Chmn., Ctte. for State Security (BKGB)","Valery VAKULCHIK","Belarus"
"Chmn., National Bank","Pavel KALLAUR","Belarus"
"Chmn., State Border Ctte.","Anatoliy LAPPO","Belarus"
"Prosecutor Gen.","Aleksandr KONYUK","Belarus"
"Ambassador to the US","","Belarus"
"Permanent Representative to the UN, New York","Valentin RYBAKOV","Belarus"
"King","PHILIPPE","Belgium"
"Prime Min.","Charles Yvon MICHEL","Belgium"
"Dep. Prime Min.","Alexander DE CROO","Belgium"
"Dep. Prime Min.","Jan JAMBON","Belgium"
"Dep. Prime Min.","Kris PEETERS","Belgium"
"Dep. Prime Min.","Didier REYNDERS","Belgium"
"Min. of Budget","Sophie WILMES","Belgium"
"Min. of Defense & Civil Service","Didier REYNDERS","Belgium"
"Min. of Development Cooperation","Alexander DE CROO","Belgium"
"Min. of Digital Agenda, Telecommunication, & Postal Services","Philippe DE BACKER","Belgium"
"Min. of Employment, Economy, & Consumer Affairs","Kris PEETERS","Belgium"
"Min. of Energy, Environment, & Sustainable Development","Marie-Christine MARGHEM","Belgium"
"Min. of Finance","Alexander DE CROO","Belgium"
"Min. of Foreign & European Affairs","Didier REYNDERS","Belgium"
"Min. of Justice","Koen GEENS","Belgium"
"Min. of Pensions","Daniel BACQUELAINE","Belgium"
"Min. of Security & Interior","Pieter DE CREM","Belgium"
"Min. of the Self-Employed, Small & Medium-Sized Enterprises, Agriculture, & Social Integration","Denis DUCARME","Belgium"
"Min. of Social Affairs & Public Health","Maggie DE BLOCK","Belgium"
"Min. of Transportation","Francois BELLOT","Belgium"
"Governor, National Bank of Belgium","Jan SMETS","Belgium"
"Ambassador to the US","Dirk WOUTERS","Belgium"
"Permanent Representative to the UN, New York","Marc Pecsteen DE BUYTSWERVE","Belgium"
"Governor Gen.","Colville Nobert YOUNG , Sir","Belize"
"Prime Min.","Dean Oliver BARROW","Belize"
"Dep. Prime Min.","Patrick FABER","Belize"
"Min. of Agriculture, Fisheries, Forestry, the Environment, & Sustainable Development","Godwin HULSE","Belize"
"Min. of Economic Development, Petroleum, Investment, Trade, & Commerce","Erwin CONTRERAS","Belize"
"Min. of Education, Science & Technology, Culture, Youth, & Sports","Patrick FABER","Belize"
"Min. of Finance","Dean Oliver BARROW","Belize"
"Min. of Foreign Affairs","Wilfred Peter ELRINGTON","Belize"
"Min. of Health","Pablo MARIN","Belize"
"Min. of Housing & Urban Development","Michael FINNEGAN","Belize"
"Min. of Human Development, Social Transformation, & Poverty Alleviation","Anthony MARTINEZ","Belize"
"Min. of Labor, Local Govt., & Rural Development","Hugo PATT","Belize"
"Min. of National Security","John Birchman SALVIDAR","Belize"
"Min. of Natural Resources & Immigration","Godwin HULSE","Belize"
"Min. of Public Service, Energy, & Public Utilities","Frank MENA","Belize"
"Min. of Tourism & Civil Aviation","Jose Manuel HEREDIA , Jr.","Belize"
"Min. of Transport & National Emergencies","Edmond CASTRO","Belize"
"Min. of Works","Rene MONTERO","Belize"
"Attorney Gen.","Michael PEYREFITTE","Belize"
"Governor, Central Bank","A. Joy GRANT","Belize"
"Ambassador to the US","Daniel GUTIEREZ","Belize"
"Permanent Representative to the UN, New York","Lois M. YOUNG","Belize"
"Pres.","Patrice TALON","Benin"
"Min. of Agriculture, Livestock, & Fisheries","Delphin KOUZANDE","Benin"
"Min. of Decentralization & Local Governance","Barnabe DASSIGLI","Benin"
"Min. of Economy & Finance","Romauld WADAGNI","Benin"
"Min. of Environment & Sustainable Development","Jose Didier TONATO","Benin"
"Min. of Foreign Affairs & Cooperation","Aurelien AGBENONCI","Benin"
"Min. of Health","Alassane SEIDOU","Benin"
"Min. of Higher Education & Scientific Research","Marie-Odile ATTANASSO","Benin"
"Min. of Industry & Commerce","Serges AHISSOU","Benin"
"Min. of Infrastructure & Transportation","Cyr KOTY","Benin"
"Min. of Interior & Public Security","Sacca LAFIA","Benin"
"Min. of Justice & Legislation & Keeper of the Seals","Joseph DJOGBENOU","Benin"
"Min. of Labor, Civil Service, & Social Affairs","Adidjatou MATHYS","Benin"
"Min. of Primary Education","Mahougnon KAKPO","Benin"
"Min. of Secondary & Technical Education & Professional Training","Karimou SALIMANE","Benin"
"Min. of Small & Medium Enterprises & Employment","Modeste KEREKOU","Benin"
"Min. of Sports","Oswald HOMEKY","Benin"
"Min. of State & Sec. Gen. of the Presidency","Pascal Irenee KOUPAKI","Benin"
"Min. of State Charged With Planning & Development","Abdoulaye Bio TCHANE","Benin"
"Min. of Telecommunications","Rafiatou MONROU","Benin"
"Min. of Tourism & Culture","Ange NKOUE","Benin"
"Min. of Water & Mines","Samou Seidou ADAMBI","Benin"
"Min.-Del. to the Presidency Charged With National Defense","Fortunet Alain NOUATIN","Benin"
"Ambassador to the US","Hector POSSET","Benin"
"Permanent Representative to the UN, New York","Jean-Claude Felix do REGO","Benin"
"Governor","George FERGUSSON","Bermuda"
"Premier","Craig CANNONIER","Bermuda"
"Min. of Community & Cultural Development","Wayne SCOTT","Bermuda"
"Min. of Economic Development","Grant GIBBONS","Bermuda"
"Min. of Education","Nalton BRANGMAN","Bermuda"
"Min. of Environment & Planning","Sylvan RICHARDS","Bermuda"
"Min. of Finance","Everard Trenton RICHARDS","Bermuda"
"Min. of Health & Seniors","Patricia GORDON-PAMPLIN","Bermuda"
"Min. of Home Affairs","Michael FAHY","Bermuda"
"Min. of Legal Affairs","Mark PETTINGILL","Bermuda"
"Min. of Public Safety","Michael DUNKLEY","Bermuda"
"Min. of Public Works","Trevor MONIZ","Bermuda"
"Min. of Tourism, Development, & Transport","Shawn CROCKWELL","Bermuda"
"Min. Without Portfolio","Leah SCOTT","Bermuda"
"Attorney Gen.","Mark PETTINGILL","Bermuda"
"King","Jigme Khesar Namgyel WANGCHUCK","Bhutan"
"Prime Min.","Lotay TSHERING","Bhutan"
"Min. of Agriculture & Forests","Yeshey PENJOR","Bhutan"
"Min. of Economic Affairs","Loknath SHARMA","Bhutan"
"Min. of Education","Jai Bir RAI","Bhutan"
"Min. of Finance","Namgay TSHERING","Bhutan"
"Min. of Foreign Affairs","Tandi DORJI","Bhutan"
"Min. of Health","Dechen WANGMO","Bhutan"
"Min. of Home & Cultural Affairs","Dasho Sherub GYELTSHEN","Bhutan"
"Min. of Information & Communications","Karma Donnen WANGDI","Bhutan"
"Min. of Labor & Human Resources","Ugyen DORJI","Bhutan"
"Min. of Works & Human Settlements","Dorji TSHERING","Bhutan"
"Governor, Royal Monetary Authority","Dasho PENJORE","Bhutan"
"Permanent Representative to the UN, New York","Doma TSHERING","Bhutan"
"Pres.","Juan Evo MORALES Ayma","Bolivia"
"Vice Pres.","Alvaro GARCIA Linera","Bolivia"
"Min. of Communication","Gisela LOPEZ Rivas","Bolivia"
"Min. of Culture & Tourism","Willma ALANOCA Mamani","Bolivia"
"Min. of Defense","Javier ZAVALETA Lopez","Bolivia"
"Min. of the Economy & Public Finances","Luis ARCE Catacora","Bolivia"
"Min. of Education","Roberto AGUILAR Gomez","Bolivia"
"Min. of Energy","Rafael ALARCON Orihuela","Bolivia"
"Min. of the Environment & Water","Carlos ORTUNO Yanez","Bolivia"
"Min. of Foreign Relations","Diego PARY Rodriguez","Bolivia"
"Min. of Govt.","Carlos ROMERO Bonifaz","Bolivia"
"Min. of Health","Ariana CAMPERO Nava","Bolivia"
"Min. of Hydrocarbons","Luis Alberto SANCHEZ Fernandez","Bolivia"
"Min. of Justice & Institutional Transparency","Hector ARCE Zaconeta","Bolivia"
"Min. of Labor, Employment, & Social Security","Hector HINOJOSA Rodriguez","Bolivia"
"Min. of Mining & Metals","Felix Cesar NAVARRO Miranda","Bolivia"
"Min. of Planning & Development","Mariana PRADA Noya","Bolivia"
"Min. of the Presidency","Rene MARTINEZ Callahuanca","Bolivia"
"Min. of Productive Development & Pluralist Economics","Eugenio ROJAS Apaza","Bolivia"
"Min. of Public Works, Services, & Housing","Milton CLAROS Hinojosa","Bolivia"
"Min. of Rural Development & Lands","Cesar COCARICO Yana","Bolivia"
"Min. of Sport","Tito Roland MONTANO Rivera","Bolivia"
"Head, Legal Defense of the State","Pablo MENACHO Diederich","Bolivia"
"Pres., Central Bank","Marcelo ZABALAGA Estrada","Bolivia"
"Charge d'Affaires, Embassy, Washington","Rafael Pablo CANEDO Daroca","Bolivia"
"Permanent Representative to the UN, New York","Sacha LLORENTI Soliz","Bolivia"
"Presidency Chmn. (Serb)","Mladen IVANIC","Bosnia and Herzegovina"
"Presidency Member (Bosniak)","Bakir IZETBEGOVIC","Bosnia and Herzegovina"
"Presidency Member (Croat)","Dragan COVIC","Bosnia and Herzegovina"
"Chmn., Council of Ministers","Denis ZVIZDIC","Bosnia and Herzegovina"
"Dep. Chmn., Council of Ministers","Vjekoslav BEVANDA","Bosnia and Herzegovina"
"Dep. Chmn., Council of Ministers","Mirko SAROVIC","Bosnia and Herzegovina"
"Min. of Civil Affairs","Adil OSMANOVIC","Bosnia and Herzegovina"
"Min. of Defense","Marina PENDES","Bosnia and Herzegovina"
"Min. of Finance","Vjekoslav BEVANDA","Bosnia and Herzegovina"
"Min. of Foreign Affairs","Igor CRNADAK","Bosnia and Herzegovina"
"Min. of Foreign Trade & Economic Relations","Mirko SAROVIC","Bosnia and Herzegovina"
"Min. of Human Rights & Refugees","Semiha BOROVAC","Bosnia and Herzegovina"
"Min. of Justice","Josip GRUBES","Bosnia and Herzegovina"
"Min. of Security","Dragan MEKTIC","Bosnia and Herzegovina"
"Min. of Transport & Communication","Ismir JUSKO","Bosnia and Herzegovina"
"Governor, Central Bank","Kemal KOZARIC","Bosnia and Herzegovina"
"Ambassador to the US","Haris HRLE","Bosnia and Herzegovina"
"Permanent Representative to the UN, New York","Ivica DRONJIC","Bosnia and Herzegovina"
"Pres.","Marinko CAVARA","Bosnia and Herzegovina"
"Vice Pres.","Milan DUNOVIC","Bosnia and Herzegovina"
"Vice Pres.","Melika MAHMUTBEGOVIC","Bosnia and Herzegovina"
"Prime Min.","Fadil NOVALIC","Bosnia and Herzegovina"
"Dep. Prime Min.","Jelka MILICEVIC","Bosnia and Herzegovina"
"Dep. Prime Min.","Aleksandar REMETIC","Bosnia and Herzegovina"
"Min. of Agriculture, Water Industry, & Forestry","Semsudin DEDIC","Bosnia and Herzegovina"
"Min. of Culture & Sports","Zora DUJMOVIC","Bosnia and Herzegovina"
"Min. of Development, Entrepreneurship, & Crafts","Amir ZUKIC","Bosnia and Herzegovina"
"Min. of Education & Science","Elvira CEMALOVIC-DILBEROVIC","Bosnia and Herzegovina"
"Min. of Energy, Mining, & Industry","Reuf BAJROVIC","Bosnia and Herzegovina"
"Min. of Environment & Tourism","Snjezana SOLDAT","Bosnia and Herzegovina"
"Min. of Finance","Jelka MILICEVIC","Bosnia and Herzegovina"
"Min. of Health","Vjekoslav MANDIC","Bosnia and Herzegovina"
"Min. of Interior","Aljosa CAMPARA","Bosnia and Herzegovina"
"Min. of Justice","Mato JOZIC","Bosnia and Herzegovina"
"Min. of Labor & Social Welfare","Milan MANDILOVIC","Bosnia and Herzegovina"
"Min. of the Liberation War Veterans & Disabled Veterans Issues","Salko BUKVAREVIC","Bosnia and Herzegovina"
"Min. of Refugees & Displaced Persons","Edin RAMIC","Bosnia and Herzegovina"
"Min. of Trade","Aleksandar REMETIC","Bosnia and Herzegovina"
"Min. of Traffic & Communications","Denis LASIC","Bosnia and Herzegovina"
"Min. of Urban Planning","Josip MARTIC","Bosnia and Herzegovina"
"Pres.","Milorad DODIK","Bosnia and Herzegovina"
"Vice Pres.","Josip JERKOVIC","Bosnia and Herzegovina"
"Vice Pres.","Ramiz SALKIC","Bosnia and Herzegovina"
"Prime Min.","Zeljka CVIJANOVIC","Bosnia and Herzegovina"
"Min. of Agriculture","Stevo MIRJANIC","Bosnia and Herzegovina"
"Min. of Economic Relations & Coordination","Zlatan KLOKIC","Bosnia and Herzegovina"
"Min. of Education & Culture","Dane MALESEVIC","Bosnia and Herzegovina"
"Min. of Finance","Zoran TEGELTIJA","Bosnia and Herzegovina"
"Min. of Health & Social Protection","Dragan BOGDANIC","Bosnia and Herzegovina"
"Min. of Industry, Energy, & Mining","Petar DJOKIC","Bosnia and Herzegovina"
"Min. of Interior","Dragan LUKAC","Bosnia and Herzegovina"
"Min. of Justice","Anton KASIPOVIC","Bosnia and Herzegovina"
"Min. of Labor & Veterans Affairs","Milenko SAVANOVIC","Bosnia and Herzegovina"
"Min. of Public Admin. & Local Self-Govt.","Lejla RESIC","Bosnia and Herzegovina"
"Min. of Refugees & Displaced Persons","Davor CORDAS","Bosnia and Herzegovina"
"Min. of Science & Technology","Jasmin KOMIC","Bosnia and Herzegovina"
"Min. of Trade & Tourism","Predrag GLUHAKOVIC","Bosnia and Herzegovina"
"Min. of Transport & Communications","Nedjo TRNINIC","Bosnia and Herzegovina"
"Min. of Urban Planning & Ecology","Srebrenka GOLIC","Bosnia and Herzegovina"
"Min. of Youth, Families, & Sport","Jasmina DAVIDOVIC","Bosnia and Herzegovina"
"Pres.","Mokgweetsi Eric MASISI","Botswana"
"Vice Pres.","Slumber TSOGWANE","Botswana"
"Min. of Agricultural Development & Food Security","Patrick RALOTSIA","Botswana"
"Min. of Basic Education","Bagalatia ARONE , Dr.","Botswana"
"Min. of Defense, Justice, & Security","Shaw KGATHI","Botswana"
"Min. of Employment, Labor Productivity, & Skills Development","Tshenolo MABEO","Botswana"
"Min. of Environment, Natural Resources Conservation, & Tourism","Kitso MOKAILA","Botswana"
"Min. of Finance & Economic Development","Ontefetse Kenneth MATAMBO","Botswana"
"Min. of Health & Wellness","Alfred MADIGELE , Dr.","Botswana"
"Min. of Infrastructure & Housing Development","Vincent SERETSE","Botswana"
"Min. of Intl. Affairs & Cooperation","Unity DOW","Botswana"
"Min. of Investment, Trade, & Industry","Bogolo KENEWENDO","Botswana"
"Min. of Labor & Home Affairs","","Botswana"
"Min. of Land Management, Water, & Sanitation Services","Kefentse MZWINILA","Botswana"
"Min. of Local Govt. & Rural Development","Pelonomi VENSON-MOITOI , Dr.","Botswana"
"Min. of Mineral Resources, Green Technology, & Energy Security","Eric MOLALE","Botswana"
"Min. of Nationality, Immigration, & Gender Affairs","Ngaka NGAKA","Botswana"
"Min. of Presidential Affairs, Governance, & Public Admin.","Nonofho MOLEFHI","Botswana"
"Min. of Tertiary Education, Research, Science, & Technology","Thapelo OLOPENG","Botswana"
"Min. of Transport & Communications","Dorcas MAKGATO","Botswana"
"Min. of Youth Empowerment, Sport, & Culture Development","Tshekedi KHAMA","Botswana"
"Attorney Gen.","Athalia MOLOKOMME","Botswana"
"Governor, Bank of Botswana","Linah MOHOHLO","Botswana"
"Ambassador to the US","David John NEWMAN","Botswana"
"Permanent Representative to the UN, New York","Charles Thembani NTWAAGAE","Botswana"
"Pres.","Jair Messias BOLSONARO","Brazil"
"Vice Pres.","Hamilton MOURAO","Brazil"
"Chief of the Civilian Household of the Presidency","Onyx LORENZONI","Brazil"
"Min. of Agriculture","Tereza CRISTINA","Brazil"
"Min. of Citizenship & Social Action","Osmar TERRA","Brazil"
"Min. of Defense","Fernando AZEVEDO E SILVA","Brazil"
"Min. of Economy","Paulo GUEDES","Brazil"
"Min. of Education","Ricardo VELEZ Rodriguez","Brazil"
"Min. of the Environment","Ricardo de Aquino SALLES","Brazil"
"Min. of Foreign Relations","Ernesto ARAUJO","Brazil"
"Min. of Health","Luiz Henrique MANDETTA","Brazil"
"Min. of Infrastructure","Tarcisio GOMES DE FREITAS","Brazil"
"Min. Institutional Security Cabinet","Augusto HELENO Ribeiro Pereira","Brazil"
"Min. of Justice & Public Security","Sergio MORO","Brazil"
"Min. of Mines & Energy","Bento Costa LIMA LEITE de Alburquerque , Jr.","Brazil"
"Min. of Regional Development","Gustavo Henrique RIGODANZO CANUTO","Brazil"
"Min. of Science, Technology, Innovation, & Communications","Marcos PONTES","Brazil"
"Min. of Tourism","Vinicius LUMMERTZ","Brazil"
"Min. of Transparency & Comptroller Gen. of the Republic","Wagner de Campos ROSARIO","Brazil"
"Min. of Women, Family, & Human Rights","Damares ALVES","Brazil"
"Sec. of Govt.","Carlos Alberto DOS SANTOS CRUZ","Brazil"
"Attorney General of the Union","Andre Luiz DE ALMEIDA MENDONCA","Brazil"
"Pres., Central Bank","Roberto CAMPOS NETO","Brazil"
"Ambassador to the US","Sergio AMARAL","Brazil"
"Permanent Representative to the UN, New York","Mauro Luiz Iecker VIEIRA","Brazil"
"Sultan","HASSANAL Bolkiah , Sir","Brunei"
"Prime Min.","HASSANAL Bolkiah , Sir","Brunei"
"Senior Min. in the Prime Min.'s Office","Al-Muhtadee BILLAH , Crown Prince","Brunei"
"Special Adviser and Min. at the Prime Min.'s Office","Laila Utama ISA bin Ibrahim","Brunei"
"Min. of Communications","Abdul MUTALIB bin Yusof","Brunei"
"Min. of Culture, Youth, & Sports","AMINUDDIN Ihsan Abidin","Brunei"
"Min. of Defense","HASSANAL Bolkiah , Sir","Brunei"
"Min. of Development","SUHAIMI bin Gafar","Brunei"
"Min. of Education","HAMZAH bin Sulaiman","Brunei"
"Min. of Energy & Industry at the Prime Min.'s Office","MAT SUNY bin Hussein","Brunei"
"Min. of Finance","HASSANAL Bolkiah , Sir","Brunei"
"Min. of Finance II","AMIN Liew bin Abdullah","Brunei"
"Min. of Foreign Affairs & Trade","HASSANAL Bolkiah , Sir","Brunei"
"Min. of Foreign Affairs & Trade II & Min. at the Prime Min.'s Office","ERYWAN Yusof","Brunei"
"Min. of Health","ISHAM bin Jaafar","Brunei"
"Min. of Home Affairs","Awang ABU BAKAR bin Apong","Brunei"
"Min. of Primary Resources & Tourism","ALI bin Haji Apong","Brunei"
"Min. of Religious Affairs","BADARUDDIN bin Othman","Brunei"
"Ambassador to the US","SERBINI Ali","Brunei"
"Permanent Representative to the UN, New York","Abdul Ghafar ISMAIL","Brunei"
"Pres.","Rumen RADEV","Bulgaria"
"Vice Pres.","Iliana IOTOVA","Bulgaria"
"Prime Min.","Boyko BORISOV","Bulgaria"
"Dep. Prime Min.","Tomislav DONCHEV","Bulgaria"
"Dep. Prime Min. in Charge of Economic & Demographic Policy","Valeri SIMEONOV","Bulgaria"
"Dep. Prime Min. in Charge of the Judiciary & Reform","Ekaterina ZAHARIEVA","Bulgaria"
"Dep. Prime Min. in Charge of Public Order & National Security","Krasimir KARAKACHANOV","Bulgaria"
"Min. of Agriculture, Food, & Forestry","Rumen POROZHANOV","Bulgaria"
"Min. for the Bulgarian Presidency of the Council of the EU 2018","Lilyana PAVLOVA","Bulgaria"
"Min. of Culture","Boil BANOV","Bulgaria"
"Min. of Defense","Krasimir KARAKACHANOV","Bulgaria"
"Min. of Economy","Emil KARANIKOLOV","Bulgaria"
"Min. of Energy","Temenuzhka PETKOVA","Bulgaria"
"Min. of Education & Science","Krasimir VALCHEV","Bulgaria"
"Min. of Environment & Water","Neno DIMOV","Bulgaria"
"Min. of Finance","Vladislav GORANOV","Bulgaria"
"Min. of Foreign Affairs","Ekaterina ZAHARIEVA","Bulgaria"
"Min. of Health","Kiril ANANIEV","Bulgaria"
"Min. of Interior","Valentin RADEV","Bulgaria"
"Min. of Justice","Tsetska TSACHEVA","Bulgaria"
"Min. of Labor & Social Policy","Biser PETKOV","Bulgaria"
"Min. of Regional Development & Public Works","Nikolay NANKOV","Bulgaria"
"Min. of Youth & Sports","Krasen KRALEV","Bulgaria"
"Min. of Tourism","Nikolina ANGELKOVA","Bulgaria"
"Min. of Transport, IT, & Communications","Ivaylo MOSKOVSKI","Bulgaria"
"Gov., Bulgarian National Bank","Dimitar RADEV","Bulgaria"
"Ambassador to the US","Tihomir STOYTCHEV","Bulgaria"
"Permanent Representative to the UN, New York","Georgi PANAYOTOV","Bulgaria"
"Pres.","Roch Marc Christian KABORE","Burkina Faso"
"Prime Min.","Paul Kaba THIEBA","Burkina Faso"
"Min. for African Integration & Burkinabe Expatriates","Paul Robert TIENDREBEOGO","Burkina Faso"
"Min. of Agriculture, Food Security, & Water Resources","Jacob OUEDRAOGO","Burkina Faso"
"Min. of Animal Resources & Fisheries","Sommanogo KOUTOU","Burkina Faso"
"Min. of Commerce, Industry, & Handicraft","Harouna KABORE","Burkina Faso"
"Min. of Communications & Relations With the Parliament & Govt. Spokesman","Remy Fulgence DANDJINOU","Burkina Faso"
"Min. of Culture, Arts, & Tourism","Abdoul Karim SANGO","Burkina Faso"
"Min. of Development of the Digital Economy & Post","Hadja Fatimata Ouattara SANON","Burkina Faso"
"Min. of Economy, Finance, & Development","Hadizatou Rosine COULIBALY","Burkina Faso"
"Min. of Energy","Bechir Ismael OUEDRAOGO","Burkina Faso"
"Min. of Environment, Green Economy, & Climate Change","Batio BASSIERE","Burkina Faso"
"Min. of Foreign Affairs & Cooperation","Alpha BARRY","Burkina Faso"
"Min. of Health","Nicolas MEDA","Burkina Faso"
"Min. of Housing & Urban Development","Maurice Dieudonne BONANE","Burkina Faso"
"Min. of Infrastructure","Eric W. BOUGOUMA","Burkina Faso"
"Min. of Justice, Human Rights, Civic Promotion, & Keeper of the Seals","Rene BAGORO","Burkina Faso"
"Min. of Mines & Quarries","Oumarou IDANI","Burkina Faso"
"Min. of National Defense & Veterans","Jean-Claude BOUDA","Burkina Faso"
"Min. of National Education & Literacy","Stanislas OUARO","Burkina Faso"
"Min. of Public Service, Labor, & Social Security","Seyni OUEDRAOGO","Burkina Faso"
"Min. of Secondary, Higher Education, Scientific Research, & Innovation","Alkassoun MAIGA","Burkina Faso"
"Min. of Security","Clement SAWADOGO","Burkina Faso"
"Min. of Sports & Recreation","Daouda AZOUPIOU","Burkina Faso"
"Min. of State at the Presidency","Simon COMPAORE","Burkina Faso"
"Min. of Territorial Admin. & Decentralization","Simeon SAWADOGO","Burkina Faso"
"Min. of Transportation & Road Security","Vincent DABILGOU","Burkina Faso"
"Min. of Water & Sanitation","Niougou Ambroise OUEDRAOGO","Burkina Faso"
"Min. of Women, National Solidarity, & Family","Helene Marie Laurence ILBOUDO","Burkina Faso"
"Min. of Youth, Training, & Professional Integration","Smaila OUEDRAOGO","Burkina Faso"
"Min.-Del. to the Min. of Economy, Finance, & Development","Hadizatou Rosine COULIBALY-SORY","Burkina Faso"
"Min.-Del. to the Min. of Economy, Finance, & Development in Charge of Budget","Edith Clemence YAKA","Burkina Faso"
"Ambassador to the US","Seydou KABORE","Burkina Faso"
"Permanent Representative to the UN, New York","Yemdaogo Eric TIARE","Burkina Faso"
"Pres.","WIN MYINT","Burma"
"State Counselor","AUNG SAN SUU KYI","Burma"
"Vice Pres.","MYINT SWE","Burma"
"Vice Pres.","HENRY VAN THIO","Burma"
"Min. of Agriculture, Livestock Breeding, & Irrigation","AUNG THU , Dr.","Burma"
"Min. of Border Affairs","YE AUNG , Lt. Gen.","Burma"
"Min. of Commerce","THAN MYINT , Dr.","Burma"
"Min. of Construction","HAN ZAW","Burma"
"Min. of Defense","SEIN WIN , Lt. Gen.","Burma"
"Min. of Education","MYO THEIN GYI","Burma"
"Min. of Electric Power & Energy","WIN KHAING","Burma"
"Min. of Ethnic Affairs","NAING THET LWIN","Burma"
"Min. of Foreign Affairs","AUNG SAN SUU KYI","Burma"
"Min. of Health & Sports","MYINT HTWE","Burma"
"Min. of Home Affairs","KYAW SWE , Lt. Gen.","Burma"
"Min. of Hotels & Tourism","OHN MAUNG","Burma"
"Min. of Industry","KHIN MAUNG CHO","Burma"
"Min. of Information","PE MYINT","Burma"
"Min. of International Cooperation","KYAW TIN","Burma"
"Min. of Investment & Foreign Economic Relations","THAUNG TUN","Burma"
"Min. of Labor, Immigration, & Population","THEIN SWE","Burma"
"Min. of Natural Resources & Environmental Conservation","OHN WIN","Burma"
"Min. in the Office of the State Counselor","KYAW TINT SWE","Burma"
"Min. of the Office of the Union Govt.","MIN THU","Burma"
"Min. of Planning & Finance","SOE WIN","Burma"
"Min. of Religious Affairs & Culture","AUNG KO","Burma"
"Min. of Social Welfare, Relief, & Resettlement","WIN MYAT AYE","Burma"
"Min. of Transportation & Communications","THANT SIN MAUNG","Burma"
"Min. in the Office of the Pres.","AUNG SAN SUU KYI","Burma"
